id,fname,lname,gender,dob,datejoined,mail,phno,city,zip,role
A001,Rob,Start,Male,1958-12-05,2002-08-06,rob12@gmail.com,9494959158,winterfall,514896,Lyricist
A002,A.R.,Rahman,Male,1966-06-05,2003-06-14,rahman06@gmail.com,9895715248,Chennai,600001,Lyricist
A003,Krishna ,Chaitanya,Male,1966-05-15,2006-12-04,chaitanyak@gmail.com,8129197922,Eluru,561001,Lyricist
A004,Chadrabose,K,Male,1987-04-21,1995-12-08,kscb@gmail.com,9446090724,Challagariga,506100,Lyricist
A005,Aishwarya,P,Female,1964-12-31,2011-11-08,aishwaryapareparambil@gmail.com,9567194194,Bareilly,732496,Lyricist
A006,Deepak,P Nambiar,Male,1984-10-07,2016-05-04,sulekhanambiar@outlook.com,9207230197,Basti,679197,Lyricist
A007,Govind,Murali,Male,1976-07-08,2001-06-02,govindmurali47@gmail.com,9447333007,Bijnor,640449,Lyricist
A008,Harry,Paul,Male,1966-02-05,2011-09-03,harrypaul1812@gmail.com,9544514506,Bithur,660071,Lyricist
A009,Vishnu,Sreekumar,Male,1970-12-30,2004-11-13,kalavedu4050@gmail.com,9495613097,Chittoor,649988,Lyricist
A010,Niranjan,Praveen,Male,1968-12-27,2002-02-05,praveenkarilly@gmail.com,9129705463,Dowlaiswaram,534871,Lyricist
A011,POWELL,MOOTHEDAN,Male,1961-04-15,1998-12-25,powellmoothedan12c@gmail.com,9846986214,Eluru,726126,Lyricist
A012,Nelapati,Lalith Karthik,Male,1981-05-15,2009-01-21,n.lalithkarthik17@gmail.com,8287520837,Guntur,748876,Lyricist
A013,AMIN,SHAJAHAN,Male,1969-07-10,2001-08-26,aminshaikhb@gmail.com,9847894688,Kadapa,592953,Lyricist
A014,Prithvi,Raj,Male,1971-02-07,2007-05-18,prithvic1103@gmail.com,9656759294,Kakinada,756309,Lyricist
A015,Shradha,Shaji,Female,1980-04-16,1995-10-08,deepthysist@gmail.com,8106127114,Kurnool,680280,Lyricist
A016,Abhishek,A b,Male,1976-05-04,2004-05-03,kehsihba.ab@icloud.com,9765138194,Machilipatnam,625525,Lyricist
A017,SREEKANTH,K,Male,1978-02-19,2000-09-22,sreekanthk2003@gmail.com,7909113000,Nagarjunako??a,689898,Lyricist
A018,Abhijith,S,Male,1960-02-20,2000-04-07,abhit999@gmail.com,7510336648,Rajahmundry,516035,Lyricist
A019,B,Ananda Deva,Male,1970-02-08,1999-09-11,anandababub9@gmail.com,8086214895,Srikakulam,762377,Lyricist
A020,Vinayak,V Thayil,Male,1964-05-01,2003-01-13,vinaythayil12@gmail.com,9446763771,Tirupati,677392,Lyricist
A021,Arijit,Singh,Male,1987-04-25,2007-08-17,arijith@gmail.com,9949886613,Vijayawada,742104,Vocalyst
A022,Amitabh,Bhattacharya,Male,1976-11-16,2004-02-14,amitabhbatta@gmail.com,8074866182,Visakhapatnam,720123,Lyricist
A023,Pritam,Chakraborty,Male,1971-06-14,2001-05-04,pritam@gmail.com,9446177964,Vizianagaram,734012,Lyricist
A024,B,Praak,Male,1986-02-07,2009-12-12,pratik@gmail.com,9985100229,Yemmiganur,789010,Vocalyst
A025,Vishal,Mishra,Male,1991-12-03,2015-02-13,vishalm@gmail.com,6303658929,Arunach,786510,Vocalyst
A026,Amit,Trivedi,Male,1979-04-08,2003-07-10,amit@gmail.com,8078092819,Ahmadnagar,707452,Vocalyst
A027,Shreya,Ghoshal,Female,1960-12-20,1995-09-30,shreya@gmail.com,9948346176,Akola,786883,Vocalyst
A028,Mithoon,M,Male,1972-12-09,2000-08-01,mithoon@gmail.com,6303747821,Amravati,722978,Lyricist
A029,Varun,Dhawan,Male,1970-09-24,2004-07-08,varun@gmail.com,9446118887,Aurangabad,605659,Vocalyst
A030,Ayushmann,Khurrana,Male,1985-06-29,2002-10-16,ayushmann@gmail.com,9249888070,Bhandara,542503,Vocalyst
A031,Kumaar,K,Male,1969-07-13,1995-03-11,kumaar@gmail.com,9446343531,Bhusawal,673851,Lyricist
